scenario,object,style,code,x_px,y_px,width_px,height_px
LD4-E6-1280x800-reverse,fig/4/21,pushbutton,T06,709.872000,519.520000,36.000000,40.000000
LD4-E6-1280x800-reverse,fig/4/22,pushbutton,T05,546.384000,519.520000,36.000000,40.000000
LD4-E6-1280x800-reverse,fig/4/23,pushbutton,T04,462.544000,519.520000,36.000000,40.000000
LD4-E6-1280x800-reverse,fig/4/24,pushbutton,T03,311.632000,519.520000,36.000000,40.000000
LD4-E6-1280x800-reverse,fig/4/25,pushbutton,T02,51.728000,519.520000,36.000000,40.000000
LD4-E6-1280x800-reverse,fig/4/26,pushbutton,T01,219.408000,519.520000,36.000000,40.000000
LD4-E6-1280x800-reverse,fig/4/45,pushbutton,B03,702.720000,219.200000,150.912000,36.960000
LD4-E6-1280x800-reverse,fig/4/46,pushbutton,B02,702.720000,280.800000,150.912000,36.960000
LD4-E6-1280x800-reverse,fig/4/47,pushbutton,B01,702.720000,342.400000,150.912000,36.960000
LD4-E6-1280x800-reverse,fig/4/48,pushbutton,B13,463.776000,111.400000,129.952000,36.960000
LD4-E6-1280x800-reverse,fig/4/49,pushbutton,B12,325.440000,111.400000,129.952000,36.960000
LD4-E6-1280x800-reverse,fig/4/50,pushbutton,B11,187.104000,111.400000,129.952000,36.960000
LD4-E6-1280x800-reverse,fig/4/51,pushbutton,B10,48.768000,111.400000,129.952000,36.960000
LD4-E6-1280x800-reverse,fig/5,pushbutton,,1113.600000,744.000000,134.400000,35.200000
LD4-E7-1280x800,fig/3/1,pushbutton,B05,1064.960000,105.240000,158.400000,27.720000
LD4-E7-1280x800,fig/3/2,pushbutton,,920.640000,105.240000,130.240000,27.720000
LD4-E7-1280x800,fig/3/3,pushbutton,,920.640000,148.360000,302.720000,46.200000
LD4-E7-1280x800,fig/3/4,edit,A07.02,1117.760000,373.200000,105.600000,46.200000
LD4-E7-1280x800,fig/3/6,edit,A07.01,1117.760000,434.800000,105.600000,46.200000
LD4-E7-1280x800,fig/4/15,pushbutton,T12,508.656000,199.200000,36.000000,40.000000
LD4-E7-1280x800,fig/4/16,pushbutton,T11,282.288000,199.200000,36.000000,40.000000
LD4-E7-1280x800,fig/4/17,pushbutton,T10,651.184000,359.360000,36.000000,40.000000
LD4-E7-1280x800,fig/4/18,pushbutton,T09,441.584000,359.360000,36.000000,40.000000
LD4-E7-1280x800,fig/4/19,pushbutton,T08,349.360000,359.360000,36.000000,40.000000
LD4-E7-1280x800,fig/4/20,pushbutton,T07,139.760000,359.360000,36.000000,40.000000
LD4-E7-1280x800,fig/4/21,pushbutton,T06,709.872000,519.520000,36.000000,40.000000
LD4-E7-1280x800,fig/4/22,pushbutton,T05,546.384000,519.520000,36.000000,40.000000
LD4-E7-1280x800,fig/4/23,pushbutton,T04,462.544000,519.520000,36.000000,40.000000
LD4-E7-1280x800,fig/4/24,pushbutton,T03,311.632000,519.520000,36.000000,40.000000
LD4-E7-1280x800,fig/4/25,pushbutton,T02,51.728000,519.520000,36.000000,40.000000
LD4-E7-1280x800,fig/4/26,pushbutton,T01,219.408000,519.520000,36.000000,40.000000
LD4-E7-1280x800,fig/4/45,pushbutton,B03,702.720000,219.200000,150.912000,36.960000
LD4-E7-1280x800,fig/4/46,pushbutton,B02,702.720000,280.800000,150.912000,36.960000
LD4-E7-1280x800,fig/4/47,pushbutton,B01,702.720000,342.400000,150.912000,36.960000
LD4-E7-1280x800,fig/4/48,pushbutton,B13,463.776000,111.400000,129.952000,36.960000
LD4-E7-1280x800,fig/4/49,pushbutton,B12,325.440000,111.400000,129.952000,36.960000
LD4-E7-1280x800,fig/4/50,pushbutton,B11,187.104000,111.400000,129.952000,36.960000
LD4-E7-1280x800,fig/4/51,pushbutton,B10,48.768000,111.400000,129.952000,36.960000
LD4-E7-1280x800,fig/5,pushbutton,,1113.600000,744.000000,134.400000,35.200000
LD4-E7-1280x800-reverse,fig/3/1,pushbutton,B05,1064.960000,105.240000,158.400000,27.720000
LD4-E7-1280x800-reverse,fig/3/2,pushbutton,,920.640000,105.240000,130.240000,27.720000
LD4-E7-1280x800-reverse,fig/3/3,pushbutton,,920.640000,148.360000,302.720000,46.200000
LD4-E7-1280x800-reverse,fig/3/4,edit,A07.02,1117.760000,373.200000,105.600000,46.200000
LD4-E7-1280x800-reverse,fig/3/6,edit,A07.01,1117.760000,434.800000,105.600000,46.200000
LD4-E7-1280x800-reverse,fig/4/15,pushbutton,T12,508.656000,199.200000,36.000000,40.000000
LD4-E7-1280x800-reverse,fig/4/16,pushbutton,T11,282.288000,199.200000,36.000000,40.000000
LD4-E7-1280x800-reverse,fig/4/17,pushbutton,T10,651.184000,359.360000,36.000000,40.000000
LD4-E7-1280x800-reverse,fig/4/18,pushbutton,T09,441.584000,359.360000,36.000000,40.000000
LD4-E7-1280x800-reverse,fig/4/19,pushbutton,T08,349.360000,359.360000,36.000000,40.000000
LD4-E7-1280x800-reverse,fig/4/20,pushbutton,T07,139.760000,359.360000,36.000000,40.000000
LD4-E7-1280x800-reverse,fig/4/21,pushbutton,T06,709.872000,519.520000,36.000000,40.000000
LD4-E7-1280x800-reverse,fig/4/22,pushbutton,T05,546.384000,519.520000,36.000000,40.000000
LD4-E7-1280x800-reverse,fig/4/23,pushbutton,T04,462.544000,519.520000,36.000000,40.000000
LD4-E7-1280x800-reverse,fig/4/24,pushbutton,T03,311.632000,519.520000,36.000000,40.000000
LD4-E7-1280x800-reverse,fig/4/25,pushbutton,T02,51.728000,519.520000,36.000000,40.000000
LD4-E7-1280x800-reverse,fig/4/26,pushbutton,T01,219.408000,519.520000,36.000000,40.000000
LD4-E7-1280x800-reverse,fig/4/45,pushbutton,B03,702.720000,219.200000,150.912000,36.960000
LD4-E7-1280x800-reverse,fig/4/46,pushbutton,B02,702.720000,280.800000,150.912000,36.960000
LD4-E7-1280x800-reverse,fig/4/47,pushbutton,B01,702.720000,342.400000,150.912000,36.960000
LD4-E7-1280x800-reverse,fig/4/48,pushbutton,B13,463.776000,111.400000,129.952000,36.960000
LD4-E7-1280x800-reverse,fig/4/49,pushbutton,B12,325.440000,111.400000,129.952000,36.960000
LD4-E7-1280x800-reverse,fig/4/50,pushbutton,B11,187.104000,111.400000,129.952000,36.960000
LD4-E7-1280x800-reverse,fig/4/51,pushbutton,B10,48.768000,111.400000,129.952000,36.960000
LD4-E7-1280x800-reverse,fig/5,pushbutton,,1113.600000,744.000000,134.400000,35.200000
